task_id,asset_id,department,asset_type,asset_age_years,asset_criticality,defect_type,defect_severity,num_open_defects,days_since_defect,days_overdue,maintenance_frequency,days_since_last_maintenance,previous_failures,failures_last_12_months,trains_per_day,goods_trains_per_day,operational_impact,maintenance_duration_hours,urgent
TSK-IR-000021,AST-SNT-00455,S&T,Electronic Interlocking (EI Rack),6.2,HIGH,Cabinet Overheating & Fan Filter Choke,LOW,1,40,1,Quarterly,94,0,0,143,70,HIGH,2.87,0
TSK-IR-000022,AST-TRD-01948,Traction,Cantilever Assembly & Regulating Bracket,10.2,HIGH,Porcelain / Composite Insulator Flashover Tracking,HIGH,3,18,16,Quarterly,106,1,0,157,73,CRITICAL,2.55,1
TSK-IR-000023,AST-TRD-00995,Traction,Contact Wire (107/150 sq mm Cu),5.0,HIGH,Local Kink / Arc Blemish,CRITICAL,3,5,3,Half-Yearly,181,0,0,143,74,CRITICAL,4.84,1
TSK-IR-000024,AST-ENG-00759,Engineering,Glued Insulated Rail Joint (GJ),8.8,HIGH,Electrical Insulation Resistance Drop,CRITICAL,2,4,0,Fortnightly,24,2,2,134,54,HIGH,3.92,1
TSK-IR-000025,AST-ENG-03652,Engineering,Girder Bridge / Culvert Bearing,16.2,HIGH,Bed Block Structural Crack,HIGH,2,9,11,Annual,388,3,1,112,49,CRITICAL,4.29,1
TSK-IR-000026,AST-ENG-01964,Engineering,Turnout / Points & Crossing (1 in 12 / 1 in 8.5),7.1,HIGH,Nose of Crossing Severe Wear,HIGH,3,5,6,Monthly,35,4,2,42,7,MEDIUM,5.57,0
TSK-IR-000027,AST-TRD-02426,Traction,Auto Tensioning Device (ATD 3:1 Pulley),11.5,MEDIUM,Pulley Bearing Seizure / Stiff Movement,HIGH,5,7,8,Monthly,49,6,4,18,6,LOW,2.57,0
TSK-IR-000028,AST-ENG-02528,Engineering,Prestressed Concrete Sleepers (PSC),22.4,LOW,Insert Loose / Corroded,MEDIUM,3,33,34,Quarterly,128,10,3,16,3,LOW,2.36,0
TSK-IR-000029,AST-ENG-03846,Engineering,Girder Bridge / Culvert Bearing,20.5,CRITICAL,Rocker / Roller Bearing Seizure,CRITICAL,6,8,0,Annual,361,9,5,119,62,HIGH,4.93,1
TSK-IR-000030,AST-SNT-02636,S&T,Signalling Power Supply / IPS,7.6,HIGH,Battery Bank Individual Cell Voltage Low,MEDIUM,1,79,22,Monthly,58,2,1,91,38,HIGH,1.6,0
TSK-IR-000031,AST-SNT-00452,S&T,Digital Axle Counter (MSDAC/SSDAC),4.1,MEDIUM,Telegram Transmission Bit Error / Reset Trip,HIGH,4,21,0,Fortnightly,23,2,2,151,84,HIGH,2.38,0
TSK-IR-000032,AST-SNT-01296,S&T,DC Track Circuit (TC),9.4,LOW,Track Relay Drop / False Occupancy,HIGH,2,10,12,Monthly,54,4,2,35,6,LOW,1.9,0
TSK-IR-000033,AST-SNT-01399,S&T,Color Light Signal (LED Unit),4.1,CRITICAL,Current Sensor Threshold Mismatch / Blank Signal,CRITICAL,6,6,2,Monthly,36,2,2,158,58,CRITICAL,2.78,1
TSK-IR-000034,AST-SNT-01713,S&T,DC Track Circuit (TC),6.8,CRITICAL,Ballast Resistance Low in Rain,MEDIUM,1,23,52,Fortnightly,76,2,3,88,44,HIGH,1.3,1
TSK-IR-000035,AST-TRD-00155,Traction,Section Insulator Assembly,5.5,HIGH,Insulator Glaze Puncture / Flashover Mark,CRITICAL,2,1,2,Monthly,28,2,1,192,89,CRITICAL,3.87,1
TSK-IR-000036,AST-TRD-00945,Traction,25kV Vacuum Circuit Breaker (VCB),6.4,CRITICAL,Vacuum Bottle Contact Resistance High,HIGH,4,8,0,Half-Yearly,185,6,1,60,21,HIGH,4.72,0
TSK-IR-000037,AST-ENG-03973,Engineering,Elastic Rail Clip & Fastenings,2.5,MEDIUM,Rubber Pad Perished / Displaced,LOW,1,25,5,Fortnightly,16,1,0,182,83,HIGH,1.21,0
TSK-IR-000038,AST-ENG-02885,Engineering,Girder Bridge / Culvert Bearing,37.3,MEDIUM,Bed Block Structural Crack,HIGH,1,11,11,Annual,384,12,5,211,88,CRITICAL,6.4,0
TSK-IR-000039,AST-TRD-02193,Traction,Auto Tensioning Device (ATD 3:1 Pulley),11.4,HIGH,Pulley Bearing Seizure / Stiff Movement,MEDIUM,2,23,0,Quarterly,100,3,1,169,80,CRITICAL,2.31,0
TSK-IR-000040,AST-SNT-02671,S&T,Digital Axle Counter (MSDAC/SSDAC),3.3,MEDIUM,Outdoor Sensor Clamp Loose Due to Vibration,MEDIUM,1,34,3,Fortnightly,24,2,0,203,96,HIGH,2.89,0
TSK-IR-000041,AST-ENG-04228,Engineering,Turnout / Points & Crossing (1 in 12 / 1 in 8.5),5.2,HIGH,Tongue Rail Chipping / Wear,MEDIUM,1,15,4,Fortnightly,15,3,1,165,74,CRITICAL,3.15,0
TSK-IR-000042,AST-SNT-01581,S&T,Signalling Power Supply / IPS,1.1,CRITICAL,Surge Protection Device (SPD) Blown,HIGH,1,29,0,Quarterly,89,4,2,128,62,HIGH,3.95,1
TSK-IR-000043,AST-TRD-00641,Traction,Contact Wire (107/150 sq mm Cu),4.1,HIGH,Dropper Clip Loose / Damaged,MEDIUM,1,19,25,Half-Yearly,212,4,2,28,7,HIGH,3.57,0
TSK-IR-000044,AST-SNT-03052,S&T,Interlocked Level Crossing (LC Gate),15.8,CRITICAL,Winch Wire Rope Frayed,MEDIUM,2,24,3,Fortnightly,29,3,4,10,3,LOW,1.84,0
TSK-IR-000045,AST-ENG-02221,Engineering,Girder Bridge / Culvert Bearing,6.8,HIGH,Bearing Greasing Depletion & Tilt,HIGH,3,22,16,Half-Yearly,205,2,1,77,38,HIGH,6.91,0
TSK-IR-000046,AST-ENG-01366,Engineering,Rails (60kg/52kg),2.3,HIGH,Squat (Rolling Contact Fatigue),CRITICAL,2,5,5,Quarterly,96,1,0,167,58,CRITICAL,4.26,1
TSK-IR-000047,AST-TRD-02278,Traction,Catenary Wire (65/125 sq mm),18.4,MEDIUM,Strand Severed / Loose Outer Strand,HIGH,5,10,0,Half-Yearly,178,2,0,60,11,LOW,5.3,0
TSK-IR-000048,AST-SNT-01993,S&T,Digital Axle Counter (MSDAC/SSDAC),3.3,HIGH,Telegram Transmission Bit Error / Reset Trip,HIGH,1,16,1,Quarterly,96,2,1,146,79,CRITICAL,1.66,1
TSK-IR-000049,AST-TRD-01974,Traction,Contact Wire (107/150 sq mm Cu),9.0,HIGH,Contact Wire Height & Stagger Deviation,LOW,3,31,0,Monthly,29,0,0,123,70,CRITICAL,2.4,0
TSK-IR-000050,AST-ENG-03355,Engineering,Turnout / Points & Crossing (1 in 12 / 1 in 8.5),11.2,HIGH,Tongue Rail Chipping / Wear,HIGH,1,16,4,Fortnightly,15,2,0,38,11,MEDIUM,4.22,0
TSK-IR-000051,AST-SNT-02942,S&T,Interlocked Level Crossing (LC Gate),13.6,MEDIUM,Boom Locking Plunger Misaligned,CRITICAL,3,13,18,Weekly,35,1,1,148,69,MEDIUM,1.85,0
TSK-IR-000052,AST-SNT-03224,S&T,Electronic Interlocking (EI Rack),4.9,HIGH,Vital Input/Output Card Communication Error,HIGH,4,7,0,Quarterly,95,3,1,128,60,HIGH,3.72,0
TSK-IR-000053,AST-ENG-04333,Engineering,Glued Insulated Rail Joint (GJ),5.0,HIGH,Insulating End Post Crushed,HIGH,1,13,9,Quarterly,107,1,0,102,44,HIGH,2.98,0
TSK-IR-000054,AST-SNT-00829,S&T,Electronic Interlocking (EI Rack),2.0,HIGH,Vital Input/Output Card Communication Error,CRITICAL,2,11,20,Quarterly,119,1,2,65,28,HIGH,3.14,1
TSK-IR-000055,AST-ENG-00953,Engineering,Girder Bridge / Culvert Bearing,24.0,HIGH,Bed Block Structural Crack,HIGH,4,17,12,Quarterly,108,8,1,183,100,CRITICAL,5.68,1
TSK-IR-000056,AST-ENG-04414,Engineering,Ballast Cushion & Formation,14.3,HIGH,Ballast Deficiency & Caking,MEDIUM,5,17,5,Quarterly,98,4,1,145,66,CRITICAL,3.53,0
TSK-IR-000057,AST-SNT-02567,S&T,Digital Axle Counter (MSDAC/SSDAC),4.5,MEDIUM,Telegram Transmission Bit Error / Reset Trip,MEDIUM,3,42,0,Monthly,35,1,0,28,8,LOW,2.73,0
TSK-IR-000058,AST-ENG-01827,Engineering,Ballast Cushion & Formation,6.9,HIGH,Slack Packing & Void Under Sleepers,HIGH,2,17,0,Quarterly,90,2,0,38,9,MEDIUM,5.8,0
TSK-IR-000059,AST-ENG-00544,Engineering,Elastic Rail Clip & Fastenings,7.5,MEDIUM,Missing / Broken Elastic Rail Clips (ERC),MEDIUM,1,20,6,Quarterly,100,5,2,104,59,MEDIUM,1.93,0
TSK-IR-000060,AST-ENG-01804,Engineering,Rails (60kg/52kg),14.0,HIGH,Shelling & Spalling,CRITICAL,3,10,7,Monthly,40,4,1,94,46,HIGH,4.27,1
TSK-IR-000061,AST-TRD-00256,Traction,Contact Wire (107/150 sq mm Cu),8.1,HIGH,Dropper Clip Loose / Damaged,LOW,4,55,1,Monthly,28,3,1,116,48,HIGH,2.47,0
TSK-IR-000062,AST-SNT-01972,S&T,Electric Point Machine (IRS/Siemens),6.6,CRITICAL,Friction Clutch Slippage / Over-Torque,MEDIUM,1,40,48,Monthly,80,3,1,62,18,HIGH,1.45,0
TSK-IR-000063,AST-SNT-03164,S&T,Color Light Signal (LED Unit),7.2,HIGH,Current Sensor Threshold Mismatch / Blank Signal,CRITICAL,1,4,0,Monthly,40,1,0,79,38,HIGH,2.44,0
TSK-IR-000064,AST-ENG-00315,Engineering,Ballast Cushion & Formation,17.9,HIGH,Mud Pumping & Foul Ballast in Monsoon,MEDIUM,6,33,0,Monthly,41,3,1,139,76,HIGH,6.77,0
TSK-IR-000065,AST-ENG-04063,Engineering,Turnout / Points & Crossing (1 in 12 / 1 in 8.5),7.1,HIGH,Tongue Rail Chipping / Wear,HIGH,2,7,7,Monthly,48,3,1,38,7,MEDIUM,4.68,0
TSK-IR-000066,AST-SNT-02345,S&T,DC Track Circuit (TC),12.4,HIGH,Ballast Resistance Low in Rain,HIGH,2,27,1,Fortnightly,28,6,3,191,104,CRITICAL,2.25,1
TSK-IR-000067,AST-SNT-02222,S&T,DC Track Circuit (TC),17.2,HIGH,Track Relay Drop / False Occupancy,HIGH,2,19,6,Monthly,42,3,4,21,6,MEDIUM,1.66,0
TSK-IR-000068,AST-SNT-01952,S&T,Digital Axle Counter (MSDAC/SSDAC),5.3,HIGH,Outdoor Sensor Clamp Loose Due to Vibration,MEDIUM,6,27,7,Monthly,43,3,2,182,76,CRITICAL,3.18,0
TSK-IR-000069,AST-ENG-00590,Engineering,Elastic Rail Clip & Fastenings,3.5,HIGH,Rubber Pad Perished / Displaced,HIGH,3,33,7,Fortnightly,33,2,0,44,7,MEDIUM,2.9,1
TSK-IR-000070,AST-TRD-01193,Traction,Traction Power Transformer (25kV/21.6MVA),11.3,CRITICAL,Silica Gel Breather Saturated & Moisture Ingress,LOW,2,35,16,Quarterly,111,7,3,162,81,CRITICAL,5.28,0
TSK-IR-000071,AST-ENG-02459,Engineering,Switch Expansion Joint (SEJ),8.4,HIGH,SEJ Gap Beyond Permissible Thermal Limit,HIGH,3,10,4,Fortnightly,21,1,0,133,59,HIGH,3.48,0
TSK-IR-000072,AST-SNT-00745,S&T,Electric Point Machine (IRS/Siemens),12.0,HIGH,Lock Bar & Split Pin Obstruction,CRITICAL,3,5,0,Fortnightly,21,5,0,10,3,MEDIUM,1.92,1
TSK-IR-000073,AST-SNT-02189,S&T,Electric Point Machine (IRS/Siemens),10.0,CRITICAL,Friction Clutch Slippage / Over-Torque,MEDIUM,1,32,10,Fortnightly,28,7,2,113,49,HIGH,1.92,0
TSK-IR-000074,AST-TRD-01861,Traction,Cantilever Assembly & Regulating Bracket,13.4,MEDIUM,Stay Arm / Bracket Tube Corrosion,HIGH,2,11,13,Half-Yearly,196,4,0,45,9,LOW,3.53,0
TSK-IR-000075,AST-ENG-03294,Engineering,Turnout / Points & Crossing (1 in 12 / 1 in 8.5),10.5,HIGH,Nose of Crossing Severe Wear,HIGH,3,9,22,Monthly,51,1,1,200,112,CRITICAL,5.29,1
TSK-IR-000076,AST-SNT-02561,S&T,Color Light Signal (LED Unit),4.6,MEDIUM,LED Aspect Cluster Partial Failure (>20%),MEDIUM,1,44,0,Quarterly,98,1,0,48,18,LOW,1.02,0
TSK-IR-000077,AST-TRD-01681,Traction,Cantilever Assembly & Regulating Bracket,16.3,MEDIUM,Stay Arm / Bracket Tube Corrosion,HIGH,5,27,19,Half-Yearly,211,8,3,87,43,MEDIUM,2.9,0
TSK-IR-000078,AST-ENG-03779,Engineering,Prestressed Concrete Sleepers (PSC),6.2,MEDIUM,Insert Loose / Corroded,MEDIUM,1,24,1,Quarterly,87,3,2,92,51,LOW,2.16,0
TSK-IR-000079,AST-SNT-00886,S&T,DC Track Circuit (TC),11.9,MEDIUM,Ballast Resistance Low in Rain,HIGH,3,33,6,Weekly,24,2,2,140,71,HIGH,2.64,0
TSK-IR-000080,AST-ENG-03146,Engineering,Elastic Rail Clip & Fastenings,5.8,MEDIUM,Rubber Pad Perished / Displaced,MEDIUM,2,10,5,Quarterly,107,0,0,44,14,LOW,2.46,0
TSK-IR-000081,AST-SNT-02913,S&T,DC Track Circuit (TC),13.3,HIGH,Track Relay Drop / False Occupancy,HIGH,5,17,9,Monthly,51,6,3,139,53,HIGH,2.79,1
TSK-IR-000082,AST-TRD-00948,Traction,Catenary Wire (65/125 sq mm),17.8,MEDIUM,Strand Severed / Loose Outer Strand,HIGH,3,6,12,Quarterly,100,6,1,28,5,LOW,3.78,0
TSK-IR-000083,AST-ENG-01742,Engineering,Turnout / Points & Crossing (1 in 12 / 1 in 8.5),6.7,MEDIUM,Stock Rail Gauge Corner Cut,HIGH,2,4,0,Monthly,35,3,2,136,67,MEDIUM,3.29,0
TSK-IR-000084,AST-SNT-00424,S&T,Signalling Power Supply / IPS,14.0,HIGH,Inverter Module Fault / Load Transfer,CRITICAL,2,1,0,Quarterly,98,4,1,104,39,HIGH,2.62,1
TSK-IR-000085,AST-TRD-01969,Traction,Catenary Wire (65/125 sq mm),6.3,MEDIUM,Strand Severed / Loose Outer Strand,CRITICAL,1,3,0,Half-Yearly,190,3,2,124,56,LOW,3.57,0
TSK-IR-000086,AST-TRD-01498,Traction,Auto Tensioning Device (ATD 3:1 Pulley),7.5,MEDIUM,Stainless Steel Wire Rope Strands Snapped,HIGH,1,42,0,Quarterly,94,5,5,47,14,LOW,2.7,0
TSK-IR-000087,AST-ENG-04285,Engineering,Turnout / Points & Crossing (1 in 12 / 1 in 8.5),4.8,MEDIUM,Tongue Rail Chipping / Wear,HIGH,2,12,9,Fortnightly,34,2,0,107,49,MEDIUM,4.51,0
TSK-IR-000088,AST-ENG-03530,Engineering,Switch Expansion Joint (SEJ),11.8,HIGH,Central Sleeper Spacing Fault,LOW,6,90,15,Fortnightly,37,4,2,159,64,CRITICAL,2.29,1
TSK-IR-000089,AST-TRD-01186,Traction,Catenary Wire (65/125 sq mm),8.8,HIGH,Corrosive Pitting Near Industrial Area,MEDIUM,1,27,0,Annual,364,2,0,166,65,CRITICAL,1.87,0
TSK-IR-000090,AST-SNT-02462,S&T,Color Light Signal (LED Unit),5.1,HIGH,Current Sensor Threshold Mismatch / Blank Signal,HIGH,1,18,0,Monthly,39,2,0,205,112,CRITICAL,2.12,1
TSK-IR-000091,AST-ENG-04461,Engineering,Girder Bridge / Culvert Bearing,20.1,HIGH,Bearing Greasing Depletion & Tilt,HIGH,3,9,9,Annual,371,6,1,48,14,HIGH,5.13,1
TSK-IR-000092,AST-ENG-03679,Engineering,Girder Bridge / Culvert Bearing,10.9,HIGH,Bed Block Structural Crack,HIGH,3,16,10,Quarterly,104,4,1,49,13,HIGH,5.77,1
TSK-IR-000093,AST-ENG-00983,Engineering,Turnout / Points & Crossing (1 in 12 / 1 in 8.5),4.4,CRITICAL,Check Rail Clearance Deviation,MEDIUM,1,10,25,Fortnightly,49,4,2,171,70,CRITICAL,3.03,0
TSK-IR-000094,AST-ENG-03805,Engineering,Switch Expansion Joint (SEJ),2.6,MEDIUM,SEJ Gap Beyond Permissible Thermal Limit,CRITICAL,1,9,4,Monthly,31,0,1,30,8,LOW,3.54,0
TSK-IR-000095,AST-TRD-02460,Traction,Auto Tensioning Device (ATD 3:1 Pulley),8.6,HIGH,X-Y Dimension Out of Temperature Chart Limit,CRITICAL,1,1,0,Quarterly,97,3,2,148,53,HIGH,3.41,1
TSK-IR-000096,AST-ENG-03469,Engineering,Ballast Cushion & Formation,5.0,HIGH,Slack Packing & Void Under Sleepers,HIGH,3,4,0,Annual,367,4,2,140,70,CRITICAL,5.69,1
TSK-IR-000097,AST-TRD-02362,Traction,Traction Power Transformer (25kV/21.6MVA),18.4,HIGH,Dissolved Gas Analysis (DGA) Acetylene Surge,HIGH,4,5,3,Annual,367,3,1,39,12,MEDIUM,5.52,1
TSK-IR-000098,AST-TRD-02227,Traction,Section Insulator Assembly,8.5,HIGH,Insulator Glaze Puncture / Flashover Mark,HIGH,1,8,0,Quarterly,92,2,1,33,5,MEDIUM,2.42,0
TSK-IR-000099,AST-ENG-03276,Engineering,Ballast Cushion & Formation,13.5,HIGH,Ballast Deficiency & Caking,LOW,3,76,5,Half-Yearly,189,3,1,56,8,MEDIUM,5.25,0
TSK-IR-000100,AST-SNT-01391,S&T,Electric Point Machine (IRS/Siemens),7.3,HIGH,Ground Connection Rod Bush Wear,MEDIUM,1,25,5,Weekly,15,5,3,108,43,HIGH,2.52,0
TSK-IR-000101,AST-TRD-01619,Traction,Traction Power Transformer (25kV/21.6MVA),21.5,HIGH,Silica Gel Breather Saturated & Moisture Ingress,HIGH,6,14,1,Quarterly,94,1,0,53,11,MEDIUM,7.0,1
TSK-IR-000102,AST-TRD-00553,Traction,Cantilever Assembly & Regulating Bracket,20.9,HIGH,Porcelain / Composite Insulator Flashover Tracking,HIGH,1,4,1,Quarterly,89,0,0,97,55,HIGH,2.91,0
TSK-IR-000103,AST-TRD-02284,Traction,Auto Tensioning Device (ATD 3:1 Pulley),16.5,HIGH,X-Y Dimension Out of Temperature Chart Limit,CRITICAL,4,12,0,Monthly,27,4,1,137,72,CRITICAL,3.83,0
TSK-IR-000104,AST-SNT-01538,S&T,Digital Axle Counter (MSDAC/SSDAC),5.3,LOW,Wheel Sensor Detection Coil Misalignment,HIGH,5,4,0,Fortnightly,11,2,2,41,7,LOW,2.62,0
TSK-IR-000105,AST-ENG-02872,Engineering,Prestressed Concrete Sleepers (PSC),5.3,MEDIUM,Rail Seat Abrasion & Deterioration,HIGH,1,4,33,Monthly,74,1,0,108,60,LOW,3.0,0
TSK-IR-000106,AST-TRD-00388,Traction,Catenary Wire (65/125 sq mm),8.3,MEDIUM,Bridle Wire Tension Discrepancy,MEDIUM,2,13,0,Half-Yearly,185,0,0,90,34,MEDIUM,3.44,0
TSK-IR-000107,AST-SNT-02108,S&T,Signalling Power Supply / IPS,8.8,CRITICAL,Inverter Module Fault / Load Transfer,HIGH,3,27,3,Half-Yearly,192,4,3,70,30,MEDIUM,2.74,0
TSK-IR-000108,AST-ENG-03908,Engineering,Turnout / Points & Crossing (1 in 12 / 1 in 8.5),3.7,CRITICAL,Tongue Rail Chipping / Wear,MEDIUM,2,25,10,Monthly,52,4,1,164,72,CRITICAL,4.8,0
TSK-IR-000109,AST-SNT-01773,S&T,Signalling Power Supply / IPS,6.0,CRITICAL,DC-DC Converter Ripple Exceeds Limit,MEDIUM,1,30,17,Half-Yearly,200,2,1,116,41,HIGH,1.84,0
TSK-IR-000110,AST-ENG-03685,Engineering,Rails (60kg/52kg),7.2,MEDIUM,Gauge Corner Cracking (GCC),LOW,1,44,4,Monthly,45,2,2,130,74,MEDIUM,3.16,0
TSK-IR-000111,AST-SNT-03130,S&T,Signalling Power Supply / IPS,11.0,MEDIUM,Inverter Module Fault / Load Transfer,CRITICAL,6,7,0,Half-Yearly,192,4,2,65,29,MEDIUM,4.24,0
TSK-IR-000112,AST-ENG-01299,Engineering,Turnout / Points & Crossing (1 in 12 / 1 in 8.5),9.6,CRITICAL,Stock Rail Gauge Corner Cut,LOW,2,90,5,Monthly,44,5,1,61,20,MEDIUM,4.15,0
TSK-IR-000113,AST-TRD-02172,Traction,Catenary Wire (65/125 sq mm),9.2,HIGH,Strand Severed / Loose Outer Strand,CRITICAL,2,4,4,Half-Yearly,194,2,1,36,8,MEDIUM,3.62,0
TSK-IR-000114,AST-TRD-02755,Traction,Neutral Section (PTFE type),4.7,HIGH,Transition Joint Loose / Uneven,MEDIUM,2,42,13,Monthly,47,0,0,34,11,HIGH,3.67,0
TSK-IR-000115,AST-SNT-01105,S&T,Color Light Signal (LED Unit),4.8,MEDIUM,Signal Post Alignment Deviation,LOW,3,31,7,Monthly,37,1,0,53,20,LOW,1.73,0
TSK-IR-000116,AST-ENG-02486,Engineering,Elastic Rail Clip & Fastenings,3.0,HIGH,Rubber Pad Perished / Displaced,HIGH,3,8,12,Monthly,42,1,0,124,54,CRITICAL,1.9,1
TSK-IR-000117,AST-TRD-00191,Traction,25kV Vacuum Circuit Breaker (VCB),10.0,HIGH,Auxiliary Switch Chatter / Oxidation,MEDIUM,1,22,33,Quarterly,133,6,2,47,16,MEDIUM,2.7,0
TSK-IR-000118,AST-TRD-02634,Traction,25kV Vacuum Circuit Breaker (VCB),8.8,CRITICAL,Vacuum Bottle Contact Resistance High,HIGH,1,8,11,Annual,377,5,1,137,60,HIGH,3.61,1
TSK-IR-000119,AST-ENG-03997,Engineering,Glued Insulated Rail Joint (GJ),1.5,CRITICAL,Fishplate Bolt Loose / Sheared,HIGH,3,24,9,Fortnightly,26,3,1,31,11,HIGH,4.08,1
TSK-IR-000120,AST-SNT-00081,S&T,Electronic Interlocking (EI Rack),5.5,HIGH,Vital Input/Output Card Communication Error,HIGH,1,25,3,Monthly,32,3,1,158,56,CRITICAL,3.68,1
TSK-IR-000121,AST-ENG-00101,Engineering,Switch Expansion Joint (SEJ),7.1,HIGH,Roller Plate Seized / Jammed,HIGH,1,11,0,Monthly,41,3,4,62,14,MEDIUM,2.91,0
TSK-IR-000122,AST-ENG-01869,Engineering,Girder Bridge / Culvert Bearing,18.9,HIGH,Rocker / Roller Bearing Seizure,HIGH,2,20,0,Half-Yearly,182,2,1,130,46,HIGH,6.45,1
TSK-IR-000123,AST-SNT-01915,S&T,Digital Axle Counter (MSDAC/SSDAC),5.6,MEDIUM,Evaluator Card Processing Fault,HIGH,3,9,0,Fortnightly,19,2,1,64,14,LOW,2.86,0
TSK-IR-000124,AST-ENG-02106,Engineering,Elastic Rail Clip & Fastenings,4.7,CRITICAL,Rubber Pad Perished / Displaced,HIGH,2,5,3,Monthly,33,5,3,90,38,HIGH,3.05,1
TSK-IR-000125,AST-SNT-00622,S&T,Electronic Interlocking (EI Rack),5.4,MEDIUM,Vital Input/Output Card Communication Error,CRITICAL,5,7,1,Quarterly,93,2,1,187,74,HIGH,4.11,0
