asset_id,department,asset_type,safety_function,station_code,station_name,zone,state,section_id,asset_age_years,asset_criticality,asset_criticality_score,scheduled_services_count_proxy,traffic_percentile,network_neighbor_degree,alternative_route_available,affected_services_if_blocked,operational_impact_score,maintenance_interval_days,days_since_last_maintenance,maintenance_overdue_days,failures_last_365d,failures_last_90d,failures_last_30d,same_defect_recurrences_365d,inspection_image_available,total_events_logged,last_recorded_event_id,last_recorded_date
AST-000012,Engineering,Sleeper/Fastening Zone,track gauge and stability,ENR,ENNORE,SR,Tamil Nadu,SEC-ENR-KAVM,7.4,HIGH,62.7,114.0,0.87,3.0,1,40.0,63.5,30.0,57,27.0,0,0,0,0,1,3,EVT-0007363,2026-04-13
AST-000013,Traction,Cantilever Assembly,OHE geometry,OLR,THRISSUR OLLUR HALT,SR,Kerala,SEC-OLR-PUK,12.3,HIGH,67.9,162.0,0.9566,2.0,1,70.0,65.6,30.0,32,2.0,0,0,0,0,0,2,EVT-0007255,2026-03-21
AST-000014,S&T,Colour Light Signal,movement authority indication,KTI,KANTI,ECR,Bihar,SEC-KTI-KVC,0.8,CRITICAL,79.5,38.0,0.5758,2.0,0,27.0,59.5,30.0,81,51.0,0,0,0,0,0,3,EVT-0004445,2025-10-04
AST-000015,S&T,Track Circuit,train detection,BPE,BENAPUR,SER,West Bengal,SEC-BPE-HIJ,8.0,CRITICAL,83.8,113.0,0.8654,2.0,0,81.0,76.5,30.0,61,31.0,0,0,0,0,1,1,EVT-0005800,2025-12-25
AST-000016,Traction,Circuit Breaker/Interrupter,traction protection and isolation,VDE,VEDAYAPALEM,SCR,Andhra Pradesh,SEC-VDE-NLS,33.0,CRITICAL,81.2,178.0,0.9655,2.0,0,131.0,81.4,30.0,531,501.0,0,0,0,0,1,3,EVT-0009289,2026-07-20
AST-000017,Engineering,Ballast/Formation Zone,track geometry and drainage,PCH,PACHHAPUR,SWR,Karnataka,SEC-PCH-SUL,10.1,MEDIUM,50.1,44.0,0.6226,2.0,1,11.0,42.8,60.0,170,110.0,0,0,0,0,0,6,EVT-0007850,2026-04-25
AST-000018,S&T,Colour Light Signal,movement authority indication,DPK,Dholipal,NWR,Rajasthan,SEC-DPK-BUGL,27.0,HIGH,69.4,11.0,0.2819,4.0,1,5.0,36.9,30.0,248,218.0,1,1,1,1,1,4,EVT-0005405,2025-12-01
AST-000019,Engineering,Rail/Track Section,direct train running safety,MFM,MAHALAM,NR,Punjab,SEC-MFM-TSS,9.0,MEDIUM,54.3,10.0,0.2715,2.0,1,4.0,24.5,30.0,79,49.0,2,2,2,0,1,4,EVT-0006888,2026-02-28
AST-000020,Traction,Traction Substation,traction power supply,DWA,DAILWARA,NCR,Uttar Pradesh,SEC-DWA-JHA,5.3,CRITICAL,80.9,190.0,0.9882,2.0,0,130.0,82.6,30.0,52,22.0,0,0,0,0,0,3,EVT-0007722,2026-04-17
AST-000021,S&T,Colour Light Signal,movement authority indication,JMKR,JAWLMUKHI ROAD,NR,Himachal Pradesh,SEC-JMKR-TRPL,6.0,HIGH,63.1,14.0,0.3381,3.0,1,3.0,34.4,30.0,78,48.0,0,0,0,0,0,5,EVT-0008164,2026-05-13
AST-000024,Engineering,Rail/Track Section,direct train running safety,GMO,GOMOH JN,SER,Jharkhand,SEC-GMO-TELO,8.7,HIGH,68.4,36.0,0.5623,9.0,1,14.0,56.0,30.0,9,0.0,0,0,0,0,0,4,EVT-0003138,2025-07-19
AST-000025,Traction,OHE Contact/Catenary,traction power collection,KDY,KETTANDAPATTI,SWR,Karnataka,SEC-KDY-VN,8.6,HIGH,70.2,160.0,0.9544,2.0,1,71.0,66.0,30.0,43,13.0,1,1,0,1,1,5,EVT-0009859,2026-08-22
AST-000026,S&T,Interlocked Level Crossing,road-rail protection,MSW,MASKANWA,NER,Uttar Pradesh,SEC-MSW-SNC,4.2,CRITICAL,78.7,101.0,0.8329,2.0,0,63.0,73.5,14.0,16,2.0,1,1,0,1,0,3,EVT-0006470,2026-02-03
AST-000027,S&T,Point Machine,route setting,BHJ,Barhaj Bazar,NER,Uttar Pradesh,SEC-BHJ-SSGR,1.9,HIGH,63.9,6.0,0.1827,1.0,0,3.0,30.0,14.0,156,142.0,0,0,0,0,0,2,EVT-0003861,2025-09-01
AST-000028,Traction,Feeder/Return Conductor,traction current path,MHBZ,Mahtha Bazar,NER,Uttar Pradesh,SEC-MHBZ-PRZ,9.0,MEDIUM,44.8,6.0,0.1827,4.0,1,1.0,25.2,60.0,106,46.0,1,0,0,1,0,3,EVT-0006137,2026-01-13
AST-000029,Engineering,Rail/Track Section,direct train running safety,PRGL,PERUNGULATTUR,SR,Tamil Nadu,SEC-PRGL-VDR,18.6,HIGH,71.2,89.0,0.8009,2.0,1,42.0,57.8,30.0,80,50.0,2,1,0,1,1,6,EVT-0009089,2026-07-08
AST-000030,S&T,Interlocked Level Crossing,road-rail protection,JSGR,JHARSUGUDA ROAD,SER,Orissa,SEC-JSGR-JSG,3.7,HIGH,64.4,26.0,0.483,6.0,1,13.0,50.7,14.0,128,114.0,0,0,0,0,1,3,EVT-0004758,2025-10-23
AST-000031,Traction,Cantilever Assembly,OHE geometry,DYD,DARYABAD,NER,Uttar Pradesh,SEC-DYD-PTH,11.1,MEDIUM,58.5,56.0,0.6852,2.0,1,18.0,48.3,30.0,15,0.0,0,0,0,0,1,2,EVT-0009140,2026-07-11
AST-000032,Traction,OHE Contact/Catenary,traction power collection,GNPT,Ganpatpura,WR,Gujarat,SEC-GNPT-KV,11.4,MEDIUM,49.9,3.0,0.0818,3.0,1,1.0,17.0,30.0,495,465.0,0,0,0,0,0,5,EVT-0008427,2026-05-28
AST-000033,Engineering,Rail/Track Section,direct train running safety,BGJT,Bagha Jatin,ER,West Bengal,SEC-BGJT-GIA,12.0,HIGH,60.5,9.0,0.241,2.0,0,5.0,36.4,30.0,82,52.0,0,0,0,0,1,3,EVT-0008632,2026-06-08
AST-000034,S&T,Track Circuit,train detection,JTI,JAITHARI,SECR,Madhya Pradesh,SEC-JTI-MZH,4.9,HIGH,76.2,34.0,0.5479,2.0,0,22.0,57.2,30.0,118,88.0,0,0,0,0,0,4,EVT-0006776,2026-02-21
AST-000035,S&T,Point Machine,route setting,CKKN,CHAK KALAN,NR,Punjab,SEC-CKKN-BLCA,8.4,CRITICAL,80.5,73.0,0.7498,2.0,0,46.0,69.4,14.0,226,212.0,0,0,0,0,0,3,EVT-0008941,2026-06-29
AST-000036,Traction,OHE Contact/Catenary,traction power collection,MSU,MOSUR,SR,Tamil Nadu,SEC-MSU-PLMG,27.3,HIGH,70.4,126.0,0.897,2.0,1,43.0,62.9,30.0,126,96.0,1,0,0,1,0,5,EVT-0009567,2026-08-06
AST-000037,Engineering,Rail/Track Section,direct train running safety,JERD,JENAPUR PH,ECoR,Orissa,SEC-JERD-SRKT,0.7,HIGH,60.6,15.0,0.3474,11.0,1,5.0,42.3,30.0,248,218.0,1,0,0,0,0,4,EVT-0009805,2026-08-19
AST-000038,Engineering,Ballast/Formation Zone,track geometry and drainage,JMSY,JMSY,SER,Jharkhand,SEC-JMSY-PATM,2.9,LOW,35.7,4.0,0.1298,3.0,1,1.0,16.1,60.0,147,87.0,0,0,0,0,0,5,EVT-0008946,2026-06-29
AST-000039,Engineering,Ballast/Formation Zone,track geometry and drainage,GPI,GAJAPATINAGARAM,ECoR,Andhra Pradesh,SEC-GPI-KMX,5.3,MEDIUM,47.5,30.0,0.5148,3.0,1,8.0,40.2,60.0,68,8.0,0,0,0,0,0,2,EVT-0008027,2026-05-05
AST-000040,Traction,Circuit Breaker/Interrupter,traction protection and isolation,SAR,SHAHZAD NAGAR,NER,Uttarakhand,SEC-SAR-RMU,0.5,CRITICAL,80.1,143.0,0.9363,2.0,0,104.0,79.5,30.0,231,201.0,1,1,0,1,1,5,EVT-0008744,2026-06-17
AST-000042,S&T,Electronic Interlocking,route locking and conflict prevention,BOR,BOISAR,WR,Maharashtra,SEC-BOR-UOI,6.0,CRITICAL,92.9,184.0,0.9779,2.0,0,120.0,85.0,30.0,17,0.0,0,0,0,0,0,3,EVT-0004599,2025-10-13
AST-000044,Traction,Section Insulator,electrical sectioning,ALLP,ALLEPPEY,SR,Kerala,SEC-ALLP-PNPR,25.3,HIGH,69.5,44.0,0.6226,5.0,1,21.0,59.6,30.0,41,11.0,0,0,0,0,1,5,EVT-0009630,2026-08-10
AST-000045,Traction,Circuit Breaker/Interrupter,traction protection and isolation,KUY,TIRUPPUR KULIPALAYAM,SR,Tamil Nadu,SEC-KUY-UKL,25.2,CRITICAL,80.8,131.0,0.9079,2.0,0,101.0,78.1,30.0,313,283.0,0,0,0,0,1,2,EVT-0007779,2026-04-21
AST-000046,Engineering,Bridge/Culvert,structural route continuity,GWL,GWALIOR JN,NCR,Madhya Pradesh,SEC-GWL-STLI,4.7,CRITICAL,85.5,155.0,0.9499,5.0,1,62.0,81.6,90.0,108,18.0,0,0,0,0,1,3,EVT-0007466,2026-04-02
AST-000047,S&T,Point Machine,route setting,KVQ,KOSIARA,ECR,Jharkhand,SEC-KVQ-HDN,4.3,HIGH,70.9,21.0,0.4264,2.0,0,14.0,49.2,14.0,112,98.0,0,0,0,0,1,6,EVT-0009023,2026-07-04
AST-000048,Traction,Feeder/Return Conductor,traction current path,SGP,SOHAGPUR,WCR,Madhya Pradesh,SEC-SGP-SXF,2.9,MEDIUM,58.6,111.0,0.8597,2.0,1,44.0,57.9,60.0,11,0.0,0,0,0,0,0,6,EVT-0009182,2026-07-14
AST-000049,S&T,Point Machine,route setting,KZJF,KAZIPET F CABIN,SCR,Andhra Pradesh,SEC-KZJF-SQZ,10.9,HIGH,67.4,19.0,0.3968,2.0,0,11.0,46.7,14.0,112,98.0,1,1,1,1,0,7,EVT-0009738,2026-08-16
AST-000050,S&T,Colour Light Signal,movement authority indication,BEQ,BELUR,ER,West Bengal,SEC-BEQ-LLH,16.4,CRITICAL,83.5,147.0,0.9398,2.0,0,107.0,80.6,30.0,451,421.0,1,0,0,0,1,3,EVT-0008552,2026-06-04
AST-000051,Engineering,Rail/Track Section,direct train running safety,CNF,CHIANKI,ECR,Jharkhand,SEC-CNF-DTO,23.5,HIGH,61.1,37.0,0.5645,2.0,1,9.0,42.3,30.0,53,23.0,0,0,0,0,0,1,EVT-0007126,2026-03-13
AST-000052,Engineering,Points & Crossing,route setting and derailment prevention,NDPR,NANDAPUR,SCR,Maharashtra,SEC-NDPR-PNSD,3.3,HIGH,61.2,14.0,0.3381,4.0,1,5.0,37.9,14.0,251,237.0,0,0,0,0,0,3,EVT-0006858,2026-02-26
AST-000053,Traction,Traction Substation,traction power supply,BLYH,BALIHALT,ER,West Bengal,SEC-BLYH-BLY,5.6,HIGH,72.0,48.0,0.641,2.0,0,37.0,61.3,30.0,80,50.0,1,0,0,0,0,2,EVT-0002461,2025-06-04
AST-000054,S&T,Axle Counter,train detection,VVD,Vavdi,WR,Gujarat,SEC-VVD-VDV,8.7,HIGH,60.9,4.0,0.1298,2.0,0,2.0,30.4,30.0,62,32.0,0,0,0,0,0,3,EVT-0006977,2026-03-04
AST-000055,Traction,OHE Contact/Catenary,traction power collection,HFZ,HAFIZPETA,SCR,Andhra Pradesh,SEC-HFZ-HTCY,6.4,HIGH,69.3,171.0,0.9614,2.0,1,77.0,66.2,30.0,192,162.0,0,0,0,0,1,2,EVT-0006941,2026-03-02
AST-000056,Traction,Traction Substation,traction power supply,KNS,KANCHAUSI,NCR,Uttar Pradesh,SEC-KNS-PJY,5.0,CRITICAL,84.0,185.0,0.9805,2.0,0,106.0,82.9,30.0,8,0.0,0,0,0,0,1,3,EVT-0005733,2025-12-20
AST-000057,Traction,OHE Contact/Catenary,traction power collection,BLW,BALAWALI,NR,Uttar Pradesh,SEC-BLW-RSI,14.5,HIGH,66.2,81.0,0.7777,2.0,1,29.0,55.3,30.0,41,11.0,0,0,0,0,0,1,EVT-0007343,2026-03-26
AST-000058,Engineering,Ballast/Formation Zone,track geometry and drainage,AKV,ANKLESHWAR JN,WR,Gujarat,SEC-AKV-BH,2.9,HIGH,60.9,214.0,0.9946,3.0,1,73.0,69.9,60.0,27,0.0,0,0,0,0,1,1,EVT-0004169,2025-09-18
AST-000059,Engineering,Level Crossing Surface,road-rail interface,AJM,Adraj Moti,WR,Gujarat,SEC-AJM-KLL,19.7,MEDIUM,48.5,6.0,0.1827,2.0,0,4.0,30.2,30.0,381,351.0,0,0,0,0,1,3,EVT-0007047,2026-03-09
AST-000060,Traction,Cantilever Assembly,OHE geometry,MALA,MALA,NER,Uttar Pradesh,SEC-MALA-SG,15.4,MEDIUM,50.6,4.0,0.1298,5.0,1,1.0,27.8,30.0,53,23.0,0,0,0,0,0,2,EVT-0006141,2026-01-13
AST-000062,S&T,Axle Counter,train detection,AWL,ALAWALPUR,NR,Punjab,SEC-AWL-DRE,2.4,CRITICAL,79.7,73.0,0.7498,2.0,0,49.0,69.2,30.0,69,39.0,0,0,0,0,0,1,EVT-0005608,2025-12-13
AST-000063,Engineering,Points & Crossing,route setting and derailment prevention,JDH,JAM JODHPUR JN,WR,Gujarat,SEC-JDH-WAB,14.4,HIGH,63.4,6.0,0.1827,2.0,0,3.0,33.9,14.0,38,24.0,0,0,0,0,1,1,EVT-0001994,2025-05-05
AST-000064,Engineering,Points & Crossing,route setting and derailment prevention,KDK,KOHDAD,CR,Madhya Pradesh,SEC-KDK-BMA,7.8,CRITICAL,83.1,139.0,0.9256,2.0,0,109.0,79.7,14.0,42,28.0,0,0,0,0,1,3,EVT-0007497,2026-04-04
AST-000065,S&T,Axle Counter,train detection,MRDL,MERAMANDOLIL,ECoR,Orissa,SEC-MRDL-BDPK,0.6,HIGH,75.7,36.0,0.5623,2.0,0,26.0,57.9,30.0,340,310.0,0,0,0,0,0,6,EVT-0007256,2026-03-21
AST-000066,Traction,Circuit Breaker/Interrupter,traction protection and isolation,ND,NADIAD JN,WR,Gujarat,SEC-ND-UTD,10.2,HIGH,75.1,178.0,0.9655,4.0,1,77.0,75.9,30.0,281,251.0,0,0,0,0,0,3,EVT-0009470,2026-07-31
AST-000067,Engineering,Rail/Track Section,direct train running safety,KRTN,KIRTI NAGAR,NR,Delhi NCT,SEC-KRTN-PTNR,13.9,HIGH,76.3,78.0,0.763,5.0,1,36.0,69.0,30.0,12,0.0,0,0,0,0,0,2,EVT-0001999,2025-05-05
AST-000068,Engineering,Sleeper/Fastening Zone,track gauge and stability,GVN,GODAVARI,SCR,Andhra Pradesh,SEC-GVN-RJY,7.3,HIGH,69.0,146.0,0.9392,3.0,1,60.0,68.9,30.0,92,62.0,0,0,0,0,1,3,EVT-0005653,2025-12-15
AST-000069,Engineering,Ballast/Formation Zone,track geometry and drainage,BKO,BINDKI ROAD,NR,Uttar Pradesh,SEC-BKO-KSQ,7.1,MEDIUM,56.3,143.0,0.9363,2.0,1,32.0,61.6,60.0,76,16.0,1,1,0,1,0,6,EVT-0008585,2026-06-06
AST-000070,Engineering,Bridge/Culvert,structural route continuity,UPM,URAPPAKKAM,SR,Tamil Nadu,SEC-UPM-VDR,5.1,HIGH,71.7,89.0,0.8009,2.0,1,33.0,58.0,90.0,157,67.0,0,0,0,0,1,2,EVT-0006381,2026-01-30
AST-000071,Engineering,Sleeper/Fastening Zone,track gauge and stability,LHB,LAHABON,ER,Jharkhand,SEC-LHB-TTN,18.4,LOW,41.6,1.0,0.0163,4.0,1,0.0,15.3,30.0,272,242.0,0,0,0,0,0,2,EVT-0006092,2026-01-10
AST-000072,Traction,Feeder/Return Conductor,traction current path,MCI,MANCHIRYAL,SCR,Andhra Pradesh,SEC-MCI-RVKH,3.2,HIGH,62.9,129.0,0.9025,2.0,1,61.0,61.4,60.0,152,92.0,0,0,0,0,0,2,EVT-0009471,2026-07-31
AST-000073,S&T,Colour Light Signal,movement authority indication,PIC,PARICHA,NCR,Uttar Pradesh,SEC-PIC-PTSC,11.7,CRITICAL,80.3,59.0,0.6976,2.0,0,46.0,66.4,30.0,346,316.0,1,1,1,1,0,3,EVT-0009987,2026-08-29
AST-000074,Engineering,Bridge/Culvert,structural route continuity,BSLX,BSLX,CR,Maharashtra,SEC-BSLX-MMRB,6.0,MEDIUM,56.2,2.0,0.0714,7.0,1,1.0,26.0,90.0,117,27.0,0,0,0,0,1,1,EVT-0004867,2025-10-29
AST-000075,Traction,Section Insulator,electrical sectioning,TJ,THANJAVUR,SR,Tamil Nadu,SEC-TJ-TT,12.3,HIGH,64.4,30.0,0.5148,4.0,1,15.0,48.4,30.0,133,103.0,0,0,0,0,1,5,EVT-0009438,2026-07-28
AST-000076,Traction,Circuit Breaker/Interrupter,traction protection and isolation,SPPA,SHERPUR DHIPURA,ECR,Bihar,SEC-SPPA-FAH,18.5,HIGH,65.9,8.0,0.2316,2.0,0,5.0,37.2,30.0,316,286.0,2,1,1,2,1,6,EVT-0009772,2026-08-17
AST-000078,S&T,Axle Counter,train detection,KLG,KALUNGA,SER,Orissa,SEC-KLG-KXN,10.0,CRITICAL,80.7,74.0,0.7555,2.0,0,48.0,69.7,30.0,130,100.0,0,0,0,0,0,2,EVT-0006788,2026-02-21
AST-000079,S&T,Axle Counter,train detection,KOK,KORUKKUPET JN,SR,Tamil Nadu,SEC-KOK-TNP,2.6,CRITICAL,83.5,114.0,0.87,4.0,1,46.0,72.7,30.0,58,28.0,0,0,0,0,1,3,EVT-0009902,2026-08-25
AST-000080,Engineering,Sleeper/Fastening Zone,track gauge and stability,MRJ,MIRAJ JN,CR,Maharashtra,SEC-MRJ-VJR,4.5,HIGH,63.4,44.0,0.6226,5.0,1,17.0,58.1,30.0,59,29.0,0,0,0,0,1,2,EVT-0002683,2025-06-18
AST-000081,Engineering,Level Crossing Surface,road-rail interface,CNH,CHAUNRAH,NCR,Uttar Pradesh,SEC-CNH-KPI,15.4,HIGH,62.1,59.0,0.6976,2.0,0,39.0,61.9,30.0,295,265.0,0,0,0,0,0,2,EVT-0009238,2026-07-17
AST-000082,Traction,Traction Substation,traction power supply,HAQ,HASTAVARMU,SCR,Andhra Pradesh,SEC-HAQ-RJP,2.7,HIGH,65.0,28.0,0.4996,2.0,0,16.0,51.7,30.0,192,162.0,0,0,0,0,1,2,EVT-0008643,2026-06-09
AST-000083,S&T,Point Machine,route setting,SRDR,Sardarshahr,NWR,Rajasthan,SEC-SRDR-RXW,7.9,MEDIUM,58.4,6.0,0.1827,1.0,0,3.0,28.6,14.0,261,247.0,0,0,0,0,1,3,EVT-0009118,2026-07-09
AST-000084,Engineering,Ballast/Formation Zone,track geometry and drainage,CNT,CONTAI ROAD,SER,West Bengal,SEC-CNT-VKD,4.2,MEDIUM,55.0,113.0,0.8654,2.0,1,31.0,57.3,60.0,9,0.0,0,0,0,0,1,4,EVT-0003753,2025-08-25
AST-000085,S&T,Axle Counter,train detection,DMD,DHARMADAM,SR,Kerala,SEC-DMD-ETK,15.6,CRITICAL,82.4,80.0,0.7743,2.0,0,51.0,71.2,30.0,19,0.0,0,0,0,0,0,2,EVT-0006310,2026-01-24
AST-000087,Traction,Cantilever Assembly,OHE geometry,ASKN,ASHOK NAGAR,WCR,Madhya Pradesh,SEC-ASKN-ORR,9.1,MEDIUM,59.5,32.0,0.5312,3.0,1,16.0,44.1,30.0,60,30.0,0,0,0,0,1,4,EVT-0009356,2026-07-24
AST-000088,S&T,Track Circuit,train detection,SLP,SALPA,CR,Maharashtra,SEC-SLP-AKI,21.2,HIGH,77.6,44.0,0.6226,2.0,0,30.0,61.6,30.0,94,64.0,0,0,0,0,1,6,EVT-0009524,2026-08-02
AST-000089,Engineering,Ballast/Formation Zone,track geometry and drainage,ADL,ANDUL,ER,West Bengal,SEC-ADL-MRGM,5.9,HIGH,60.2,182.0,0.9764,2.0,1,74.0,64.8,60.0,82,22.0,2,2,0,2,1,5,EVT-0007075,2026-03-10
AST-000090,Engineering,Bridge/Culvert,structural route continuity,UJN,UJJAIN JN,WR,Madhya Pradesh,SEC-UJN-VRG,9.7,HIGH,72.9,45.0,0.6288,5.0,1,25.0,60.8,90.0,79,0.0,1,0,0,1,1,3,EVT-0002750,2025-06-21
AST-000091,S&T,Electronic Interlocking,route locking and conflict prevention,GDKP,GHUNDANKHAPA,CR,Madhya Pradesh,SEC-GDKP-TEO,11.8,CRITICAL,88.5,125.0,0.895,2.0,0,83.0,79.4,30.0,382,352.0,0,0,0,0,0,2,EVT-0008602,2026-06-07
AST-000092,Traction,OHE Contact/Catenary,traction power collection,CHL,CHOLA,NR,Uttar Pradesh,SEC-CHL-GNRL,4.0,HIGH,70.1,126.0,0.897,2.0,1,45.0,62.9,30.0,106,76.0,1,0,0,1,0,2,EVT-0002311,2025-05-25
AST-000093,Engineering,Sleeper/Fastening Zone,track gauge and stability,BLYG,BALLY GHAT,ER,West Bengal,SEC-BLYG-BLYH,14.9,MEDIUM,58.0,48.0,0.641,2.0,1,14.0,45.8,30.0,9,0.0,0,0,0,0,0,3,EVT-0007520,2026-04-05
AST-000094,S&T,Axle Counter,train detection,TLO,TALANDU,ER,West Bengal,SEC-TLO-MUG,13.3,CRITICAL,82.7,80.0,0.7743,2.0,0,64.0,71.3,30.0,56,26.0,0,0,0,0,1,5,EVT-0007731,2026-04-18
AST-000095,S&T,Track Circuit,train detection,TRT,TIRUTTANI,SR,Tamil Nadu,SEC-TRT-ICP,2.3,HIGH,75.1,35.0,0.5523,4.0,1,16.0,53.2,30.0,37,7.0,0,0,0,0,1,3,EVT-0008366,2026-05-24
AST-000096,Engineering,Bridge/Culvert,structural route continuity,AKD,AKODIA,SER,Jharkhand,SEC-AKD-BLX,14.2,HIGH,67.1,51.0,0.66,2.0,1,21.0,49.1,90.0,163,73.0,0,0,0,0,1,2,EVT-0008857,2026-06-24
AST-000097,Traction,Cantilever Assembly,OHE geometry,KKQ,KALAIKUNDA,SER,West Bengal,SEC-KKQ-KSO,8.0,HIGH,62.3,66.0,0.721,3.0,1,28.0,55.2,30.0,37,7.0,0,0,0,0,1,2,EVT-0009329,2026-07-23
AST-000098,Engineering,Rail/Track Section,direct train running safety,BELA,Bela,ECR,Bihar,SEC-BELA-NYM,35.0,MEDIUM,55.3,3.0,0.0818,5.0,1,1.0,26.3,30.0,44,14.0,0,0,0,0,1,4,EVT-0007752,2026-04-19
AST-000099,S&T,Point Machine,route setting,CNR,CHANDAR,SWR,Goa,SEC-CNR-SVM,13.0,HIGH,63.4,12.0,0.3097,4.0,1,4.0,36.9,14.0,18,4.0,0,0,0,0,1,3,EVT-0007042,2026-03-09
AST-000100,Engineering,Sleeper/Fastening Zone,track gauge and stability,LLI,LALGUDI,SR,Tamil Nadu,SEC-LLI-MAND,6.6,HIGH,60.2,42.0,0.6015,4.0,1,12.0,52.1,30.0,53,23.0,0,0,0,0,1,2,EVT-0004214,2025-09-21
AST-000101,S&T,Electronic Interlocking,route locking and conflict prevention,AHM,AHIMANPUR,NER,Uttar Pradesh,SEC-AHM-ALMW,10.3,CRITICAL,79.4,38.0,0.5758,2.0,0,25.0,59.5,30.0,39,9.0,1,1,0,1,1,5,EVT-0008739,2026-06-17
AST-000102,Engineering,Points & Crossing,route setting and derailment prevention,FL,PHULERA JN,NWR,Rajasthan,SEC-FL-HDA,10.1,CRITICAL,78.4,114.0,0.87,6.0,1,50.0,75.5,14.0,42,28.0,0,0,0,0,0,2,EVT-0003626,2025-08-18
AST-000103,Engineering,Points & Crossing,route setting and derailment prevention,THB,THANA BIHPUR JN,ER,Bihar,SEC-THB-BIGH,4.4,HIGH,70.8,79.0,0.7676,3.0,1,38.0,59.9,14.0,8,0.0,0,0,0,0,0,3,EVT-0007444,2026-03-31
AST-000104,Traction,Section Insulator,electrical sectioning,BONA,BOINDA,SER,Odisha,SEC-BONA-JRPD,11.7,HIGH,62.4,32.0,0.5312,2.0,1,12.0,40.8,30.0,10,0.0,0,0,0,0,1,2,EVT-0001763,2025-04-20
AST-000105,Engineering,Sleeper/Fastening Zone,track gauge and stability,ABP,AKBARPUR,NR,Uttar Pradesh,SEC-ABP-KTHE,3.1,HIGH,66.0,54.0,0.6777,2.0,1,27.0,49.8,30.0,122,92.0,0,0,0,0,0,2,EVT-0006123,2026-01-12
