event_id,task_id,event_date,asset_id,department,asset_type,safety_function,station_code,station_name,zone,state,section_id,asset_age_years,asset_criticality_score,asset_criticality,scheduled_services_count_proxy,network_neighbor_degree,alternative_route_available,affected_services_if_blocked,maintenance_interval_days,days_since_last_maintenance,maintenance_overdue_days,failures_last_30d,failures_last_90d,failures_last_365d,same_defect_recurrences_365d,defect_type,officer_observation,defect_duration_days,inspection_image_available,defect_severity_label,real_section_code,real_daily_train_count,real_criticality_score,is_real_traffic_data
EVT-0000011,EVT-0000011,2025-01-01,AST-001003,Traction,OHE Contact/Catenary,traction power collection,BDWD,BODWAD,CR,Maharashtra,SEC-BDWD-KMKD,1.8,65.6,HIGH,89,2,True,31,30,56,26,0,0,0,0,sag/height deviation,clear degradation; sag/height deviation.,1.9,True,MEDIUM,BDWD_VNA,3,0.2616,True
EVT-0000012,EVT-0000012,2025-01-01,AST-000743,Engineering,Rail/Track Section,direct train running safety,BTHL,BITHAULI,ECR,Bihar,SEC-BTHL-SAI,6.8,72.5,HIGH,88,3,True,37,30,15,0,0,0,0,0,surface shelling/squat,early wear indication; surface shelling/squat.,0.6,True,LOW,BTHL_BNR,4,0.3038,True
EVT-0000013,EVT-0000013,2025-01-01,AST-001704,Engineering,Bridge/Culvert,structural route continuity,APR,ANUPPUR JN,SECR,Madhya Pradesh,SEC-APR-MZH,7.0,62.0,HIGH,18,3,True,5,90,139,49,0,0,0,0,bearing distress,measurable deterioration; bearing distress.,3.6,False,MEDIUM,BUH_APR,2,0.2074,True
EVT-0000014,EVT-0000014,2025-01-01,AST-002220,S&T,Track Circuit,train detection,KHAT,KHAT,SECR,Maharashtra,SEC-KHAT-RRL,19.6,80.3,CRITICAL,81,2,False,47,30,73,43,0,0,0,0,insulation degradation,significant defect observed; insulation degradation.,9.0,True,HIGH,RRL_KHAT,6,0.3673,True
EVT-0000015,EVT-0000015,2025-01-02,AST-001232,Traction,Section Insulator,electrical sectioning,MWM,MALLESWARAM,SWR,Karnataka,SEC-MWM-YPR,6.6,69.2,HIGH,54,17,True,25,30,40,10,0,0,0,0,flashover marks,significant defect observed; flashover marks.,10.2,False,HIGH,MWM_YPR,13,0.4981,True
EVT-0000016,EVT-0000016,2025-01-02,AST-002966,Traction,Circuit Breaker/Interrupter,traction protection and isolation,JHS,JHANSI JN,NCR,Uttar Pradesh,SEC-JHS-KRQ,10.3,80.4,CRITICAL,226,5,True,109,30,9,0,0,0,0,0,trip recurrence,intermittent abnormality; trip recurrence.,2.2,True,MEDIUM,ORAI_JHS,25,0.6149,True
EVT-0000017,EVT-0000017,2025-01-02,AST-002346,Engineering,Level Crossing Surface,road-rail interface,RUPC,RUDRAPUR CITY,NER,Uttarakhand,SEC-RUPC-HLDD,5.2,55.9,MEDIUM,16,2,False,7,30,32,2,0,0,0,0,road surface degradation,minor visual anomaly; road surface degradation.,2.2,False,LOW,LKU_RUPC,4,0.3038,True
EVT-0000018,EVT-0000018,2025-01-02,AST-001042,Engineering,Rail/Track Section,direct train running safety,NYI,NELLAYI,SR,Kerala,SEC-NYI-PUK,6.4,67.3,HIGH,162,2,True,57,30,44,14,0,0,0,0,surface shelling/squat,measurable deterioration; surface shelling/squat.,3.0,False,MEDIUM,NYI_IJK,6,0.3673,True
EVT-0000019,EVT-0000019,2025-01-02,AST-002836,Engineering,Bridge/Culvert,structural route continuity,DBG,DARBHANGA JN,ECR,Bihar,SEC-DBG-LSI,17.7,74.3,HIGH,63,11,True,19,90,249,159,0,0,0,0,drainage blockage,minor visual anomaly; drainage blockage.,2.7,True,LOW,DBG_LSI,23,0.5998,True
EVT-0000020,EVT-0000020,2025-01-02,AST-003397,Engineering,Ballast/Formation Zone,track geometry and drainage,NZD,NUZVID,SCR,Andhra Pradesh,SEC-NZD-VRVL,12.2,58.1,MEDIUM,128,2,True,57,60,179,119,0,0,0,0,poor drainage,repeated functional abnormality; poor drainage.,3.0,False,HIGH,EE_NZD,3,0.2616,True
EVT-0000021,EVT-0000021,2025-01-02,AST-001648,S&T,Interlocked Level Crossing,road-rail protection,ODB,OODLABARI,NFR,West Bengal,SEC-ODB-BRQ,34.7,64.2,HIGH,30,2,False,18,14,25,11,0,0,0,0,gate detection fault,major degradation; gate detection fault.,5.1,True,HIGH,NMZ_ODB,1,0.1308,True
EVT-0000022,EVT-0000022,2025-01-02,AST-000438,Traction,Section Insulator,electrical sectioning,BLPU,BILPUR,NER,Uttar Pradesh,SEC-BLPU-KSRK,12.8,68.5,HIGH,157,3,True,66,30,32,2,0,0,0,0,insulator chipping,measurable deterioration; insulator chipping.,2.7,True,MEDIUM,BE_BLPU,1,0.1308,True
EVT-0000023,EVT-0000023,2025-01-02,AST-002006,S&T,Colour Light Signal,movement authority indication,BSX,BASAR,SCR,Andhra Pradesh,SEC-BSX-FKB,15.2,70.4,HIGH,34,2,False,22,30,62,32,0,0,0,0,aspect colour abnormality,repeated functional abnormality; aspect colour abnormality.,3.6,False,HIGH,BSX_FKB,5,0.3382,True
EVT-0000024,EVT-0000024,2025-02-07,AST-001042,Engineering,Rail/Track Section,direct train running safety,NYI,NELLAYI,SR,Kerala,SEC-NYI-PUK,6.4,67.3,HIGH,162,2,True,21,30,80,50,0,0,0,0,corrugation/wear,early wear indication; corrugation/wear.,1.4,False,LOW,NYI_IJK,6,0.3673,True
EVT-0000025,EVT-0000025,2025-01-02,AST-002095,Engineering,Ballast/Formation Zone,track geometry and drainage,PLW,PINGLESHWAR,WR,Madhya Pradesh,SEC-PLW-TJP,8.4,50.9,MEDIUM,61,2,True,20,60,170,110,0,0,0,0,formation settlement,major degradation; formation settlement.,7.7,False,HIGH,PLW_TJP,3,0.2616,True
EVT-0000026,EVT-0000026,2025-01-02,AST-000791,Traction,Feeder/Return Conductor,traction current path,SVNR,SAVANUR,SWR,Karnataka,SEC-SVNR-YLG,14.2,56.0,MEDIUM,50,2,True,13,60,155,95,0,0,0,0,conductor damage,clear degradation; conductor damage.,4.6,False,MEDIUM,YLG_SVNR,6,0.3673,True
EVT-0000027,EVT-0000027,2025-01-02,AST-002259,Traction,Traction Substation,traction power supply,DVR,DORAVARI CHATRAM,SR,Tamil Nadu,SEC-DVR-PEL,1.9,81.3,CRITICAL,103,2,False,75,30,89,59,0,0,0,0,cooling system degradation,clear degradation; cooling system degradation.,3.8,False,MEDIUM,DVR_PEL,4,0.3038,True
EVT-0000028,EVT-0000028,2025-01-02,AST-002922,Engineering,Rail/Track Section,direct train running safety,KFI,KAPPIL,SR,Kerala,SEC-KFI-PVU,16.5,71.6,HIGH,104,2,True,40,30,51,21,0,0,0,0,corrugation/wear,early wear indication; corrugation/wear.,2.7,False,LOW,PVU_KFI,4,0.3038,True
EVT-0000029,EVT-0000029,2025-01-02,AST-001927,S&T,Colour Light Signal,movement authority indication,GUS,GHUMASAN,WR,Gujarat,SEC-GUS-GUSB,13.3,84.4,CRITICAL,68,2,False,44,30,5,0,0,0,0,0,incorrect aspect indication,significant defect observed; incorrect aspect indication.,4.3,True,HIGH,SYNTHETIC_FALLBACK,68,0.8440000000000001,False
EVT-0000030,EVT-0000030,2025-01-03,AST-003400,Traction,Section Insulator,electrical sectioning,KYM,KADIYAN,SCR,Andhra Pradesh,SEC-KYM-RJY,2.8,76.1,HIGH,146,3,True,80,30,31,1,0,0,0,0,insulator chipping,measurable deterioration; insulator chipping.,1.8,False,MEDIUM,KYM_DWP,2,0.2074,True
EVT-0000031,EVT-0000031,2025-01-03,AST-001634,Engineering,Ballast/Formation Zone,track geometry and drainage,IPPM,IPURUPALEM,SCR,Andhra Pradesh,SEC-IPPM-IPPN,15.2,57.5,MEDIUM,180,2,True,31,60,66,6,0,0,0,0,ballast fouling,intermittent abnormality; ballast fouling.,3.8,False,MEDIUM,CLX_IPPM,6,0.3673,True
EVT-0000032,EVT-0000032,2025-01-03,AST-001269,Engineering,Level Crossing Surface,road-rail interface,PCQ,PICHKURIRDHAL,ER,West Bengal,SEC-PCQ-BDH,2.3,68.0,HIGH,81,2,False,42,30,34,4,0,0,0,0,road surface degradation,slight deviation observed; road surface degradation.,1.2,False,LOW,GKH_PCQ,10,0.4526,True
EVT-0000033,EVT-0000033,2025-01-03,AST-002890,S&T,Axle Counter,train detection,BAE,BALIAKHERI,NR,Uttar Pradesh,SEC-BAE-SRE,11.5,76.5,HIGH,103,3,True,44,30,45,15,0,0,0,0,evaluator communication fault,clear degradation; evaluator communication fault.,1.7,True,MEDIUM,SRE_BAE,5,0.3382,True
EVT-0000034,EVT-0000034,2025-01-03,AST-002015,Engineering,Ballast/Formation Zone,track geometry and drainage,SHLU,SHELU,CR,Maharashtra,SEC-SHLU-VGI,12.9,51.1,MEDIUM,101,2,True,30,60,15,0,0,0,0,0,ballast fouling,minor visual anomaly; ballast fouling.,1.8,False,LOW,SYNTHETIC_FALLBACK,101,0.511,False
EVT-0000035,EVT-0000035,2025-01-03,AST-001382,S&T,Colour Light Signal,movement authority indication,TGR3,BLOCK AND CATCH SIDING CABINE NO.3,CR,Maharashtra,SEC-TGR3-TGR2,2.5,74.4,HIGH,67,3,True,25,30,76,46,0,0,0,0,aspect colour abnormality,clear degradation; aspect colour abnormality.,1.7,False,MEDIUM,SYNTHETIC_FALLBACK,67,0.7440000000000001,False
EVT-0000036,EVT-0000036,2025-01-03,AST-001998,Engineering,Rail/Track Section,direct train running safety,TUP,TIRUPPUR,SR,Tamil Nadu,SEC-TUP-VNJ,4.4,75.5,HIGH,131,2,True,55,30,5,0,0,0,0,0,corrugation/wear,slight deviation observed; corrugation/wear.,13.1,True,LOW,TUP_SNO,1,0.1308,True
EVT-0000037,EVT-0000037,2025-01-03,AST-002975,Engineering,Bridge/Culvert,structural route continuity,IPL,EDAPPALLY,SR,Kerala,SEC-IPL-KLMR,6.3,78.6,CRITICAL,162,2,True,81,90,66,0,0,0,0,0,drainage blockage,early wear indication; drainage blockage.,1.7,False,LOW,IPL_AWY,3,0.2616,True
EVT-0000038,EVT-0000038,2025-01-03,AST-002727,S&T,Point Machine,route setting,RMT,RAMGARH CANT,SER,Jharkhand,SEC-RMT-RRME,17.1,73.1,HIGH,21,2,False,10,14,5,0,0,0,0,0,mechanical wear,minor visual anomaly; mechanical wear.,1.1,True,LOW,MURI_RMT,6,0.3673,True
EVT-0000039,EVT-0000039,2025-01-03,AST-000222,Engineering,Rail/Track Section,direct train running safety,MJHR,MAJHIARI,NCR,Uttar Pradesh,SEC-MJHR-SRJ,5.1,68.3,HIGH,109,2,True,38,30,6,0,0,0,0,0,rail crack indication,intermittent abnormality; rail crack indication.,2.3,True,MEDIUM,MJHR_SRJ,2,0.2074,True
EVT-0000040,EVT-0000040,2025-01-03,AST-001308,Engineering,Sleeper/Fastening Zone,track gauge and stability,LPG,LAPANGA,SER,Orissa,SEC-LPG-RGL,3.4,59.2,MEDIUM,43,4,True,9,30,52,22,0,0,0,0,missing/loose fastening,early wear indication; missing/loose fastening.,2.1,False,LOW,RGL_LPG,5,0.3382,True
EVT-0000041,EVT-0000041,2025-01-03,AST-000373,Traction,OHE Contact/Catenary,traction power collection,AHM,AHIMANPUR,NER,Uttar Pradesh,SEC-AHM-ALMW,2.9,63.6,HIGH,38,2,True,10,30,49,19,0,0,0,0,contact wire wear,minor visual anomaly; contact wire wear.,2.4,False,LOW,MBS_AHM,5,0.3382,True
EVT-0000042,EVT-0000042,2025-01-03,AST-000569,Engineering,Sleeper/Fastening Zone,track gauge and stability,DKDE,DANKAUR,NR,Uttar Pradesh,SEC-DKDE-WAIR,4.1,65.4,HIGH,126,2,True,45,30,86,56,0,0,0,0,sleeper cracking,clear degradation; sleeper cracking.,4.0,False,MEDIUM,DKDE_AJR,11,0.469,True
EVT-0000043,EVT-0000043,2025-01-03,AST-001424,Engineering,Sleeper/Fastening Zone,track gauge and stability,KTD,KANTADIH,SER,West Bengal,SEC-KTD-TAO,3.9,54.6,MEDIUM,40,2,True,11,30,34,4,0,0,0,0,missing/loose fastening,intermittent abnormality; missing/loose fastening.,2.2,True,MEDIUM,KTD_TAO,8,0.4147,True
EVT-0000044,EVT-0000044,2025-01-03,AST-002185,Engineering,Level Crossing Surface,road-rail interface,MM,MUMBAI MAHIM JN,WR,Maharashtra,SEC-MM-MRU,6.0,59.3,MEDIUM,52,2,False,28,30,76,46,0,0,0,0,road surface degradation,repeated functional abnormality; road surface degradation.,6.7,True,HIGH,SYNTHETIC_FALLBACK,52,0.593,False
EVT-0000045,EVT-0000045,2025-01-03,AST-000440,Engineering,Rail/Track Section,direct train running safety,BKT,BAKSHI KA TALAB,NER,Uttar Pradesh,SEC-BKT-MBP,19.8,68.4,HIGH,23,7,True,11,30,38,8,0,0,0,0,weld defect,repeated functional abnormality; weld defect.,2.9,True,HIGH,SYNTHETIC_FALLBACK,23,0.684,False
EVT-0000046,EVT-0000046,2025-01-03,AST-001494,S&T,Point Machine,route setting,TEL,TENALI JN,SCR,Andhra Pradesh,SEC-TEL-TSR,13.0,87.5,CRITICAL,192,6,True,103,14,10,0,0,0,0,0,mechanical wear,intermittent abnormality; mechanical wear.,5.7,True,MEDIUM,BPP_TEL,9,0.4346,True
EVT-0000047,EVT-0000047,2025-01-03,AST-003138,S&T,Colour Light Signal,movement authority indication,KUMM,KUMBALAM,SR,Kerala,SEC-KUMM-TNU,4.2,82.1,CRITICAL,53,2,False,26,30,32,2,0,0,0,0,incorrect aspect indication,early wear indication; incorrect aspect indication.,0.8,False,LOW,AROR_KUMM,4,0.3038,True
EVT-0000048,EVT-0000048,2025-01-03,AST-001821,Traction,OHE Contact/Catenary,traction power collection,HW,HARIDWAR JN,NR,Uttarakhand,SEC-HW-JWP,4.7,69.8,HIGH,68,2,True,24,30,64,34,0,0,0,0,sag/height deviation,minor visual anomaly; sag/height deviation.,1.6,False,LOW,HW_JWP,11,0.469,True
EVT-0000049,EVT-0000049,2025-01-03,AST-001356,Engineering,Level Crossing Surface,road-rail interface,CLHT,CHULHETA,WCR,Madhya Pradesh,SEC-CLHT-BET,3.0,47.8,MEDIUM,25,3,True,8,30,70,40,0,0,0,0,flange-way obstruction,clear degradation; flange-way obstruction.,2.5,True,MEDIUM,SYNTHETIC_FALLBACK,25,0.478,False
EVT-0000050,EVT-0000050,2025-01-04,AST-000576,S&T,Axle Counter,train detection,GTJT,GETOR JAGATPURA,NWR,Rajasthan,SEC-GTJT-KWP,12.4,80.3,CRITICAL,80,2,False,57,30,72,42,0,0,0,0,count mismatch,major degradation; count mismatch.,6.7,False,HIGH,GTJT_KWP,4,0.3038,True
EVT-0000051,EVT-0000051,2025-01-04,AST-000337,S&T,Colour Light Signal,movement authority indication,BRGA,BARGARH ROAD,SECR,Chhattisgarh,SEC-BRGA-BRPL,3.2,76.6,HIGH,33,2,False,25,30,72,42,0,0,0,0,signal dark/intermittent,complete or near-complete functional failure; signal dark/intermittent.,7.9,True,CRITICAL,BRGA_SBP,15,0.5233,True
EVT-0000052,EVT-0000052,2025-01-04,AST-002476,Engineering,Bridge/Culvert,structural route continuity,CHPD,CHEPPAD HALT,SR,Kerala,SEC-CHPD-HAD,7.6,63.6,HIGH,44,2,True,10,90,155,65,0,0,0,0,scour/erosion concern,clear degradation; scour/erosion concern.,1.9,False,MEDIUM,HAD_CHPD,5,0.3382,True
EVT-0000053,EVT-0000053,2025-01-04,AST-002402,S&T,Colour Light Signal,movement authority indication,ODHA,ODHA,CR,Maharashtra,SEC-ODHA-KW,4.2,89.7,CRITICAL,143,2,False,98,30,86,56,0,0,0,0,signal dark/intermittent,significant defect observed; signal dark/intermittent.,4.5,False,HIGH,KW_ODHA,3,0.2616,True
EVT-0000054,EVT-0000054,2025-01-04,AST-003320,Engineering,Bridge/Culvert,structural route continuity,BBKR,BABA BAKALARAYA,NR,Punjab,SEC-BBKR-BEAS,19.8,73.8,HIGH,83,2,True,46,90,45,0,0,0,0,0,bearing distress,intermittent abnormality; bearing distress.,2.4,False,MEDIUM,BTR_BBKR,2,0.2074,True
EVT-0000055,EVT-0000055,2025-01-04,AST-002832,S&T,Colour Light Signal,movement authority indication,BDZ,Badkulla,ER,West Bengal,SEC-BDZ-JKL,7.4,75.1,HIGH,22,2,False,15,30,69,39,0,0,0,0,incorrect aspect indication,intermittent abnormality; incorrect aspect indication.,0.9,True,MEDIUM,BDZ_KNJ,21,0.5834,True
EVT-0000056,EVT-0000056,2025-01-04,AST-002604,Engineering,Rail/Track Section,direct train running safety,VGM,VINNAMANGALAM,SWR,Karnataka,SEC-VGM-VN,2.5,77.0,HIGH,160,2,True,67,30,32,2,0,0,0,0,corrugation/wear,slight deviation observed; corrugation/wear.,1.4,True,LOW,VGM_AB,2,0.2074,True
EVT-0000057,EVT-0000057,2025-01-04,AST-001003,Traction,OHE Contact/Catenary,traction power collection,BDWD,BODWAD,CR,Maharashtra,SEC-BDWD-KMKD,1.8,65.6,HIGH,89,2,True,32,30,34,4,0,0,0,0,sag/height deviation,slight deviation observed; sag/height deviation.,3.5,False,LOW,BDWD_VNA,3,0.2616,True
EVT-0000058,EVT-0000058,2025-01-04,AST-002407,S&T,Axle Counter,train detection,BTRA,BANTHRA,NER,Uttar Pradesh,SEC-BTRA-BHDH,7.9,90.5,CRITICAL,164,2,False,131,30,87,57,0,0,0,0,evaluator communication fault,significant defect observed; evaluator communication fault.,8.3,True,HIGH,SPN_BTRA,5,0.3382,True
EVT-0000059,EVT-0000059,2025-01-04,AST-003337,S&T,Track Circuit,train detection,GKD,GADHAKDA,WR,Gujarat,SEC-GKD-MRYA,34.9,60.8,HIGH,8,3,True,3,30,38,8,0,0,0,0,false occupancy,intermittent abnormality; false occupancy.,7.7,True,MEDIUM,MRYA_GKD,2,0.2074,True
EVT-0000060,EVT-0000060,2025-01-04,AST-002031,Traction,Feeder/Return Conductor,traction current path,BOKE,BHOKE,KR,Maharashtra,SEC-BOKE-RN,5.3,55.3,MEDIUM,52,2,True,24,60,116,56,0,0,0,0,joint heating,significant defect observed; joint heating.,1.6,True,HIGH,UKC_BOKE,2,0.2074,True
EVT-0000061,EVT-0000061,2025-01-04,AST-002938,Traction,OHE Contact/Catenary,traction power collection,APB,ANUPPAMBATTU,SR,Tamil Nadu,SEC-APB-MJR,9.8,67.5,HIGH,114,2,True,39,30,40,10,0,0,0,0,contact wire wear,clear degradation; contact wire wear.,3.3,False,MEDIUM,APB_MJR,39,0.6962,True
EVT-0000062,EVT-0000062,2025-01-04,AST-002813,Traction,Section Insulator,electrical sectioning,DPS,Dangoaposi,SER,Jharkhand,SEC-DPS-MLKA,18.2,48.8,MEDIUM,6,2,False,3,30,76,46,0,0,0,0,flashover marks,significant defect observed; flashover marks.,1.0,True,HIGH,BSPX_DPS,2,0.2074,True
EVT-0000063,EVT-0000063,2025-01-04,AST-000210,S&T,Colour Light Signal,movement authority indication,SKL,SINGAPERUMAL KOIL,SR,Tamil Nadu,SEC-SKL-PWU,1.3,86.1,CRITICAL,89,2,False,60,30,65,35,0,0,0,0,incorrect aspect indication,clear degradation; incorrect aspect indication.,3.2,False,MEDIUM,CTM_SKL,19,0.5654,True
EVT-0000064,EVT-0000064,2025-01-04,AST-000493,Engineering,Level Crossing Surface,road-rail interface,KPZ,KAPREN,WCR,Rajasthan,SEC-KPZ-ARE,0.9,66.1,HIGH,114,2,False,60,30,90,60,0,0,0,0,road surface degradation,measurable deterioration; road surface degradation.,2.8,False,MEDIUM,KPZ_LKE,1,0.1308,True
EVT-0000065,EVT-0000065,2025-01-04,AST-001035,S&T,Colour Light Signal,movement authority indication,SUW,SUKHISEWANIYAN,WCR,Madhya Pradesh,SEC-SUW-BVB,16.6,88.8,CRITICAL,190,2,False,160,30,36,6,0,0,0,0,signal dark/intermittent,major degradation; signal dark/intermittent.,6.7,False,HIGH,SUW_DWG,2,0.2074,True
EVT-0000066,EVT-0000066,2025-01-04,AST-001305,Engineering,Rail/Track Section,direct train running safety,KMRJ,KUMARGANJ,ER,Jharkhand,SEC-KMRJ-MBC,12.5,64.6,HIGH,71,2,True,31,30,25,0,0,0,0,0,surface shelling/squat,major degradation; surface shelling/squat.,3.5,False,HIGH,KMRJ_SRPU,5,0.3382,True
EVT-0000067,EVT-0000067,2025-01-04,AST-000809,S&T,Electronic Interlocking,route locking and conflict prevention,BNTL,Bantawala,SWR,Karnataka,SEC-BNTL-KLKH,8.5,67.8,HIGH,10,2,False,6,30,30,0,0,0,0,0,communication redundancy loss,clear degradation; communication redundancy loss.,2.4,True,MEDIUM,KBPR_BNTL,4,0.3038,True
EVT-0000068,EVT-0000068,2025-01-04,AST-002903,Engineering,Rail/Track Section,direct train running safety,AMPA,AMBALAPUZHA,SR,Kerala,SEC-AMPA-PUPR,7.3,67.1,HIGH,44,3,True,18,30,29,0,0,0,0,0,weld defect,intermittent abnormality; weld defect.,5.6,False,MEDIUM,AMPA_HAD,11,0.469,True
EVT-0000069,EVT-0000069,2025-01-04,AST-002018,Traction,Section Insulator,electrical sectioning,BNN,BARNALA,NR,Punjab,SEC-BNN-SEQ,13.3,53.8,MEDIUM,23,2,True,10,30,36,6,0,0,0,0,alignment deviation,clear degradation; alignment deviation.,6.2,False,MEDIUM,BNN_SEQ,4,0.3038,True
EVT-0000070,EVT-0000070,2025-01-04,AST-003150,Engineering,Rail/Track Section,direct train running safety,SRN,Soron,NER,Uttar Pradesh,SEC-SRN-SRNK,4.3,55.7,MEDIUM,16,2,True,6,30,70,40,0,0,0,0,surface shelling/squat,measurable deterioration; surface shelling/squat.,3.0,False,MEDIUM,SYNTHETIC_FALLBACK,16,0.557,False
EVT-0000071,EVT-0000071,2025-01-05,AST-000080,Engineering,Sleeper/Fastening Zone,track gauge and stability,MRJ,MIRAJ JN,CR,Maharashtra,SEC-MRJ-VJR,4.5,63.4,HIGH,44,5,True,10,30,71,41,0,0,0,0,broken sleeper cluster,minor visual anomaly; broken sleeper cluster.,2.5,False,LOW,MRJ_UGR,1,0.1308,True
EVT-0000072,EVT-0000072,2025-01-05,AST-000680,Engineering,Ballast/Formation Zone,track geometry and drainage,IGPX,IGPX,NR,Delhi,SEC-IGPX-TGR2,1.4,46.7,MEDIUM,19,4,True,4,60,12,0,0,0,0,0,formation settlement,measurable deterioration; formation settlement.,2.1,True,MEDIUM,SYNTHETIC_FALLBACK,19,0.467,False
EVT-0000073,EVT-0000073,2025-01-05,AST-000126,S&T,Colour Light Signal,movement authority indication,TNW,THAPAR NAGAR,SER,West Bengal,SEC-TNW-KAO,9.9,77.0,HIGH,94,2,False,56,30,64,34,0,0,0,0,aspect colour abnormality,major degradation; aspect colour abnormality.,6.5,False,HIGH,KAO_TNW,8,0.4147,True
EVT-0000074,EVT-0000074,2025-01-05,AST-001927,S&T,Colour Light Signal,movement authority indication,GUS,GHUMASAN,WR,Gujarat,SEC-GUS-GUSB,13.3,84.4,CRITICAL,68,2,False,49,30,45,15,0,0,0,0,incorrect aspect indication,significant defect observed; incorrect aspect indication.,3.2,True,HIGH,SYNTHETIC_FALLBACK,68,0.8440000000000001,False
EVT-0000075,EVT-0000075,2025-01-05,AST-001052,Traction,Traction Substation,traction power supply,SNO,SOMANUR,SR,Tamil Nadu,SEC-SNO-SUU,3.6,80.2,CRITICAL,131,2,False,92,30,78,48,0,0,0,0,DGA anomaly,major degradation; DGA anomaly.,4.1,True,HIGH,SUU_SNO,4,0.3038,True
EVT-0000076,EVT-0000076,2025-01-05,AST-002172,Engineering,Bridge/Culvert,structural route continuity,DNN,Dina Nagar,NR,Punjab,SEC-DNN-GSP,3.2,56.0,MEDIUM,16,2,True,5,90,51,0,0,0,0,0,bearing distress,early wear indication; bearing distress.,1.5,False,LOW,PMQ_DNN,6,0.3673,True
